"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2025","3,351.40","3,368.68","3,370.32","3,340.48","","-0.51%"
"06/19/2025","3,368.57","3,369.08","3,388.07","3,347.59","","-0.02%"
"06/18/2025","3,369.09","3,390.40","3,400.05","3,362.54","","-0.58%"
"06/17/2025","3,388.74","3,383.20","3,403.39","3,366.25","","0.16%"
"06/16/2025","3,383.20","3,431.54","3,451.62","3,382.40","","-1.77%"
"06/15/2025","3,444.26","3,440.98","3,451.27","3,438.79","","0.34%"
"06/13/2025","3,432.64","3,385.30","3,447.02","3,379.79","","1.40%"
"06/12/2025","3,385.29","3,357.24","3,399.16","3,338.64","","0.94%"
"06/11/2025","3,353.84","3,322.52","3,360.82","3,315.23","","0.93%"
"06/10/2025","3,323.02","3,328.58","3,349.28","3,301.92","","-0.16%"
"06/09/2025","3,328.33","3,311.51","3,338.43","3,293.70","","0.55%"
"06/06/2025","3,310.17","3,354.26","3,375.74","3,306.87","","-1.31%"
"06/05/2025","3,354.16","3,376.55","3,403.55","3,339.20","","-0.66%"
"06/04/2025","3,376.54","3,352.56","3,384.84","3,343.76","","0.72%"
"06/03/2025","3,352.25","3,379.99","3,392.53","3,333.08","","-0.83%"
"06/02/2025","3,380.21","3,289.80","3,383.24","3,289.41","","2.76%"
"05/30/2025","3,289.40","3,319.51","3,322.95","3,271.55","","-0.83%"
"05/29/2025","3,317.02","3,286.36","3,330.94","3,245.55","","0.83%"
"05/28/2025","3,289.76","3,300.70","3,325.68","3,276.31","","-0.33%"
"05/27/2025","3,300.68","3,344.00","3,350.21","3,285.70","","-1.26%"
"05/26/2025","3,342.94","3,354.30","3,357.03","3,323.91","","-0.43%"
"05/23/2025","3,357.42","3,297.15","3,366.39","3,287.24","","1.89%"
"05/22/2025","3,295.00","3,316.49","3,345.62","3,279.55","","-0.60%"
"05/21/2025","3,314.99","3,290.12","3,325.14","3,285.51","","0.76%"
"05/20/2025","3,290.12","3,229.85","3,295.98","3,204.40","","1.87%"
